product,brand,price,oz_per_can,num_cans,price_per_oz,ingredients
Iams Perfect Portions Indoor Turkey Recipe Pate Grain-Free Cat Food Trays,Iams,$22.32,2.6,24.0,0.35769230769230764,"['Turkey Broth', ' Chicken', ' Turkey', ' Chicken Liver', ' Dried Beet Pulp', ' Calcium Carbonate', ' Dried Egg Product', ' Guar Gum', ' Added Color', ' Potassium Chloride', ' Sodium Tripolyphosphate', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Magnesium Sulfate', ' Taurine', ' Choline Chloride', ' DL-Methionine', ' Fructooligosaccharides', ' Salt', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Potassium Iodide', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (Vitamin K).']"
Wellness CORE Grain-Free Salmon  Whitefish & Herring Pate Canned Kitten & Cat Food ,Wellness,$20.40,3.0,12.0,0.5666666666666667,"['Whitefish', ' Salmon Broth', ' Salmon', ' Tuna', ' Herring', ' Dried Ground Potatoes', ' Canola Oil', ' Ground Flaxseed', ' Guar Gum', ' Cassia Gum', ' Xanthan Gum', ' Cranberries', ' Potassium Chloride', ' Salmon Oil (preserved with Mixed Tocopherols)', ' Choline Chloride', ' Taurine', ' Salt', ' Dried Kelp', ' Chicory Root Extract', ' Yucca Schidigera Extract', ' Iron Proteinate', ' Zinc Proteinate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Copper Proteinate', ' Manganese Proteinate', ' Sodium Selenite', ' Niacin', ' d-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin A Supplement', ' Biotin', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid', ' Rosemary Extract.']"
I and Love and You Oh My Cod! Pate Grain-Free Canned Cat Food,I and Love and You,$22.99,3.0,24.0,0.3193055555555555,"['Cod', ' Chicken', ' Chicken Liver', ' Fish Broth', ' Spinach', ' Cranberries', ' Apples', ' Carrots', ' Natural Flavor', ' Guar Gum', ' Sweet Potatoes', ' Alfalfa Meal', ' Ground Flaxseed', ' Taurine', ' Salt', ' Potassium Chloride', ' Cassia Gum', ' Xanthan Gum', ' Choline Chloride', ' Dl-Methionine', ' Salmon Oil (Preserved With Mixed Tocopherols)', ' Iron Proteinate', ' Zinc Proteinate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Copper Proteinate', ' Manganese Proteinate', ' Sodium Selenite', ' Niacin Supplement', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin A Supplement', ' Biotin', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid', ' Rosemary Extract.']"
Crave Salmon Pate Grain-Free Cat Food Trays,Crave,$26.16,2.6,24.0,0.4192307692307692,"['Salmon', ' Chicken Liver', ' Chicken', ' Pork Broth', ' Chicken Broth', ' Chicken Heart', ' Natural Flavor', ' Guar Gum', ' Potassium Chloride', ' Fish Oil (preserved with Mixed Tocopherols)', ' Dried Tomatoes', ' Carrageenan', ' Sodium Acid Pyrophosphate', ' Magnesium Sulfate', ' Calcium Carbonate', ' Tetrasodium Pyrophosphate', ' Tapioca Starch', ' Salt', ' Choline Chloride', ' Sodium Hexametaphosphate', ' Taurine', ' Thiamine Mononitrate (Vitamin B1)', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (source of Vitamin K Activity).']"
Merrick Limited Ingredient Diet Grain-Free Real Duck Pate Recipe Canned Cat Food,Merrick,$38.66,5.0,24.0,0.32216666666666666,"['Deboned Duck', ' Water for Processing', ' Natural Flavor', ' Pea Protein', ' Calcium Carbonate', ' Organic Alfalfa Meal', ' Sodium Phosphate', ' Guar Gum', ' Potassium Chloride', ' Salt', ' Flaxseed Oil', ' Vitamins (Vitamin E Supplement', ' Vitamin B12 Supplement', ' d-Calcium Pantothenate', ' Vitamin A Supplement', ' Niacin', ' Vitamin D3 Supplement', ' Riboflavin Supplement', ' Pyridoxine Hydrochloride', ' Folic Acid', ' Biotin', ' Thiamine Mononitrate)', ' Choline Chloride', ' Minerals (Zinc Amino Acid Complex', ' Iron Amino Acid Complex', ' Manganese Amino Acid Complex', ' Copper Amino Acid Complex', ' Potassium Iodide', ' Cobalt Glucoheptonate', ' Sodium Selenite)', ' Taurine', ' Yucca Schidigera Extract.']"
Fancy Feast Medleys Tastemakers Turkey & White Meat Chicken Recipe Canned Cat Food,Fancy Feast,$19.97,3.0,24.0,0.2773611111111111,"['Poultry Broth', ' Turkey', ' Wheat Gluten', ' Liver', ' Meat By-Products', ' Spinach', ' Corn Starch-Modified', ' Chicken', ' Artificial and Natural Flavors', ' Salt', ' Tricalcium Phosphate', ' Soy Protein Concentrate', ' Added Color', ' Potassium Chloride', ' Taurine', ' Magnesium Sulfate', ' Choline Chloride', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Copper Sulfate', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide. B-6761.']"
Blue Buffalo Wilderness Wild Delights Flaked Chicken & Trout Grain-Free Canned Cat Food,Blue Buffalo,$31.99,5.5,24.0,0.24234848484848484,"['Chicken', ' Chicken Broth', ' Water', ' Trout', ' Chicken Liver', ' Dried Egg', '\nPotato Starch', ' Natural Flavor', ' Sodium Phosphate', ' Salt', ' Carrageenan', '\nPotassium Chloride', ' Guar Gum', ' Taurine', ' Calcium Carbonate', ' Choline\nChloride', ' Iron Amino Acid Chelate', ' Zinc Amino Acid Chelate', ' Vitamin\nE Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Copper Amino\nAcid Chelate', ' Manganese Amino Acid Chelate', ' Sodium Selenite', '\nNiacin Supplement (Vitamin B3)', ' Calcium Pantothenate (Vitamin\nB5)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement\n(Vitamin B2)', ' Vitamin A Supplement', ' Biotin (Vitamin B7)', ' Potassium\nIodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid\n(Vitamin B9).']"
Blue Buffalo Wilderness Wild Delights Chicken & Trout in Tasty Gravy Grain-Free Canned Cat Food,Blue Buffalo,$31.99,3.0,24.0,0.4443055555555555,"['Chicken', ' Chicken Broth', ' Water', ' Trout', ' Chicken Liver', ' Dried Egg', '\nPotato Starch', ' Natural Flavor', ' Guar Gum', ' Sodium Phosphate', '\nPotassium Chloride', ' Salt', ' Taurine', ' Calcium Carbonate', ' Iron Amino\nAcid Chelate', ' Zinc Amino Acid Chelate', ' Vitamin E Supplement', '\nCholine Chloride', ' Thiamine Mononitrate (Vitamin B1)', ' Copper Amino\nAcid Chelate', ' Manganese Amino Acid Chelate', ' Sodium Selenite', '\nNiacin Supplement (Vitamin B3)', ' Calcium Pantothenate (Vitamin\nB5)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement\n(Vitamin B2)', ' Vitamin A Supplement', ' Biotin (Vitamin B7)', ' Potassium\nIodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid\n(Vitamin B9).']"
Fancy Feast Roasted Turkey Feast Canned Cat Food,Fancy Feast,$15.84,3.0,24.0,0.22,"['Poultry Broth', ' Turkey', ' Liver', ' Meat By-Products', ' Wheat Gluten', ' Soy Flour', ' Soy Protein Concentrate', ' Artificial and Natural Flavors', ' Potassium Chloride', ' Guar Gum', ' Tricalcium Phosphate', ' Carrageenan', ' Locust Bean Gum', ' Xanthan Gum', ' Taurine', ' Salt', ' Choline Chloride', ' Mono and Dicalcium Phosphate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Copper Sulfate', ' Vitamin A Supplement', ' Manganese Sulfate', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide. B-6982.']"
Purina Pro Plan Prime Plus Adult 7+ Salmon & Tuna Entree Classic Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Salmon', ' Liver', ' Water Sufficient For Processing', ' Meat By-Products', ' Soybean Oil', ' Chicory Root', ' Tuna', '\nESSENTIAL NUTRIENTS AND OTHER INGREDIENTS: Minerals (Salt', ' Tricalcium Phosphate', ' Potassium Chloride', ' Magnesium Sulfate', ' Mono And Dicalcium Phosphate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganese Sulfate', ' Potassium Iodide)', ' Artificial And Natural Flavors', ' Guar Gum', ' Taurine', ' Fish Oil', ' Vitamins (Vitamin E', ' Vitamin C', ' Choline', ' Vitamin B-1', ' Vitamin B-3', ' Vitamin B-5', ' Vitamin A', ' Vitamin K', ' Vitamin B-6', ' Vitamin B-2', ' Vitamin B-12', ' Vitamin B-7', ' Folic Acid', ' Vitamin D-3)', ' Beta-Carotene. B474818.']"
BFF OMG QT Patootie! Chicken & Turkey Dinner in Gravy Grain-Free Canned Cat Food,BFF,$12.79,5.5,8.0,0.29068181818181815,"['Chicken Broth', ' Chicken', ' Tuna', ' Turkey', ' Potato Starch', ' Guar Gum', ' Calcium Lactate', ' Tricalcium Phosphate', ' Choline Chloride', ' Taurine', ' Zinc Sulfate', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement (Vitamin B3)', ' Calcium Panthotenate', ' Vitamin A Supplement', ' Potassium Iodide', ' Manganese Sulfate', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Ferrous Sulfate', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K).']"
Blue Buffalo Freedom Indoor Kitten Chicken Recipe Grain-Free Canned Cat Food,Blue Buffalo,$28.99,3.0,24.0,0.4026388888888889,"['Chicken', ' Chicken Liver', ' Chicken Broth', ' Carrots', ' Sweet Potatoes', ' Natural Flavor', ' Fish Oil (Source of DHA-Docosahexaenoic Acid)', ' Flaxseed (Source of Omega 3 and 6 Fatty Acids)', ' Guar Gum', ' Cellulose', ' Potassium Chloride', ' Taurine', ' Cranberries', ' Blueberries', ' Salt', ' Carrageenan', ' Cassia Gum', ' Choline Chloride', ' Iron Amino Acid Chelate', ' Zinc Amino Acid Chelate', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Copper Amino Acid Chelate', ' Manganese Amino Acid Chelate', ' Sodium Selenite', ' Niacin Supplement (Vitamin B3)', ' Calcium Pantothenate (Vitamin B5)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement (Vitamin B2)', ' Vitamin A Supplement', ' Biotin (Vitamin B7)', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid (Vitamin B9).']"
BFF OMG Love Munchkin! Chicken & Pumpkin Dinner in Gravy Grain-Free Canned Cat Food,BFF,$12.79,5.5,8.0,0.29068181818181815,"['Chicken Broth', ' Chicken', ' Tuna', ' Pumpkin', ' Potato Starch', ' Guar Gum', ' Calcium Lactate', ' Tricalcium Phosphate', ' Choline Chloride', ' Taurine', ' Zinc Sulfate', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement (Vitamin B3)', ' Calcium Panthotenate', ' Vitamin A Supplement', ' Potassium Iodide', ' Manganese Sulfate', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Ferrous Sulfate', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K).']"
Tiki Cat Tahitian Grill Sardine Cutlets Grain-Free Canned Cat Food,Tiki Cat,$12.85,2.8,12.0,0.3824404761904762,"['Sardines', ' Sardine Broth', ' Sunflower Seed Oil', ' Locust Bean Gum', ' Choline Chloride', ' Xanthan Gum', ' Paprika', ' Taurine', ' Vitamin E Supplement', ' Zinc Sulfate', ' Iron Sulfate', ' Niacin (Vitamin B3)', ' Thiamine Mononitrate (Vitamin B1)', ' Calcium Pantothenate', ' Manganese Sulfate', ' Potassium Iodide', ' Vitamin A Supplement', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Folic Acid', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement.']"
